Job Title,Company Name,City,Province Code
"Data Scientist, Video Analytics",Geotab,Oakville,ON
Tech- Data Scientist & Client Integration Associate,Exiger,Toronto,ON
Data Scientist/Bioinformatician,SickKids,Toronto,ON
data scientist,"ResponsiveAds, Inc.",Vancouver,BC
Sr Data Scientist,IQVIA,Kirkland,QC
"Data Engineer, Game",Prodigy Game,Oakville,ON
Sr. Data Scientist,Enverus,Calgary,AB
Geospatial Data Scientist,University of Alberta,Edmonton,AB
Data Scientist,Loblaw Companies Limited,Brampton,ON
Data Scientist,Just Energy,Mississauga,ON
Data Scientist,Crestview Strategy,Canada,
"Data Science Intern, Decision Science (Fall 2020) - Toronto",Coursera,Toronto,ON
Data Scientist,Finning International Inc.,Vancouver,BC
"Data Science Specialist, Intact Lab",Intact,Montréal,QC
Senior Data Scientist (Technology Group),Ubisoft,Montréal,QC
Sr. Data Analyst,TKEES,Toronto,ON
"Machine Learning Engineer, Content Intelligence Team (Algori...",LogMeIn,Montréal,QC
Data Scientist,Finning International Inc.,Vancouver,BC
"Product Owner, Machine Learning",Numerator,Ottawa,ON
Data Science and Advanced Analytics Associate Program - Mont...,TD Bank,Levesque,ON
Machine Learning Specialist,SickKids,Toronto,ON
Principal Data Scientist,Accenture,Ottawa,ON
Senior Data Scientist,Accenture,Toronto,ON
Artificial Intelligence/Machine Learning Specialist,Global Excel Management,Sherbrooke,QC
Data Science Co-Op Fall 2020,Generac Power Systems,Vancouver,BC
"Senior Data Scientist, Intact Lab",Intact,Montréal,QC
"Applied Scientist, Alexa Speech","AMZN CAN Fulfillment Svcs, ULC",Toronto,ON
Data Science and Advanced Analytics Associate,TD Bank,Toronto,ON
Data Analyst,CARFAX Canada,London,ON
"Senior Director, Data & Business Intelligence, Global",Colliers International,Toronto,ON
Sr. Data Analyst,TKEES,Toronto,ON
"Senior Data Scientist, Intact Lab",Intact,Montréal,QC
"Senior Director, Data & Business Intelligence, Global",Colliers International,Toronto,ON
