Title,Location,Company
"Data Scientist, Video Analytics","Oakville, ON",Geotab
Tech- Data Scientist & Client Integration Associate,"Toronto, ON",Exiger
Data Scientist/Bioinformatician,"Toronto, ON",SickKids
data scientist,"Vancouver, BC","ResponsiveAds, Inc."
Sr Data Scientist,"Kirkland, QC",IQVIA
"Data Engineer, Game","Oakville, ON",Prodigy Game
Sr. Data Scientist,"Calgary, AB",Enverus
Geospatial Data Scientist,"Edmonton, AB",University of Alberta
Data Scientist,"Brampton, ON",Loblaw Companies Limited
Data Scientist,"Mississauga, ON",Just Energy
Data Scientist,Canada,Crestview Strategy
"Data Science Intern, Decision Science (Fall 2020) - Toronto","Toronto, ON",Coursera
Data Scientist,"Vancouver, BC",Finning International Inc.
"Data Science Specialist, Intact Lab","Montréal, QC",Intact
Senior Data Scientist (Technology Group),"Montréal, QC",Ubisoft
Sr. Data Analyst,"Toronto, ON",TKEES
"Machine Learning Engineer, Content Intelligence Team (Algori...","Montréal, QC",LogMeIn
Data Scientist,"Vancouver, BC",Finning International Inc.
"Product Owner, Machine Learning","Ottawa, ON",Numerator
Data Science and Advanced Analytics Associate Program - Mont...,"Levesque, ON",TD Bank
Machine Learning Specialist,"Toronto, ON",SickKids
Principal Data Scientist,"Ottawa, ON",Accenture
Senior Data Scientist,"Toronto, ON",Accenture
Artificial Intelligence/Machine Learning Specialist,"Sherbrooke, QC",Global Excel Management
Data Science Co-Op Fall 2020,"Vancouver, BC",Generac Power Systems
"Senior Data Scientist, Intact Lab","Montréal, QC",Intact
"Applied Scientist, Alexa Speech","Toronto, ON","AMZN CAN Fulfillment Svcs, ULC"
Data Science and Advanced Analytics Associate,"Toronto, ON",TD Bank
Data Analyst,"London, ON",CARFAX Canada
"Senior Director, Data & Business Intelligence, Global","Toronto, ON",Colliers International
Sr. Data Analyst,"Toronto, ON",TKEES
"Senior Data Scientist, Intact Lab","Montréal, QC",Intact
"Senior Director, Data & Business Intelligence, Global","Toronto, ON",Colliers International
Data Analyst (Temporary/Rotation),"Tiverton, ON",Bruce Power
Data Scientist,"Vancouver, BC",Finning International Inc.
"Machine Learning Engineer, Content Intelligence Team (Algori...","Montréal, QC",LogMeIn
"Applied Scientist, Alexa Speech","Toronto, ON","AMZN CAN Fulfillment Svcs, ULC"
"Data Science Intern, Decision Science (Fall 2020) - Toronto","Toronto, ON",Coursera
"Product Owner, Machine Learning","Ottawa, ON",Numerator
Data Science and Advanced Analytics Associate Program - Mont...,"Levesque, ON",TD Bank
Artificial Intelligence/Machine Learning Specialist,"Sherbrooke, QC",Global Excel Management
Machine Learning Specialist,"Toronto, ON",SickKids
Senior Data Analyst,"Calgary, AB",Symend
Senior Data Analyst,"Mississauga, ON",Baylis Medical
Data Science and Advanced Analytics Associate,"Toronto, ON",TD Bank
Data Scientist,"Mississauga, ON",Just Energy
Sr. Data Analyst,"Toronto, ON",TKEES
Data Scientist,Canada,Crestview Strategy
Data Science Co-Op Fall 2020,"Vancouver, BC",Generac Power Systems
Geospatial Data Scientist,"Edmonton, AB",University of Alberta
Data Science and Advanced Analytics Associate,"Toronto, ON",TD Bank
Senior Data Analyst,"Calgary, AB",Symend
"Data Engineer, Game","Oakville, ON",Prodigy Game
"Product Manager, Data Science","Ottawa, ON",Numerator
data scientist,"Vancouver, BC","ResponsiveAds, Inc."
"Machine Learning Engineer, Content Intelligence Team (Data E...","Montréal, QC",LogMeIn
Principal Data Scientist,"Ottawa, ON",Accenture
Senior Data Scientist,"Toronto, ON",Accenture
Data Scientist,"Vancouver, BC",Finning International Inc.
Data Analyst,"London, ON",CARFAX Canada
Artificial Intelligence/Machine Learning Specialist,"Sherbrooke, QC",Global Excel Management
Data Scientist,"Mississauga, ON",Just Energy
"Developer, Machine Learning Engineering Python","Montréal, QC",Bell Canada
"Data Science Intern, Decision Science (Fall 2020) - Toronto","Toronto, ON",Coursera
Data Scientist,"Vancouver, BC",Finning International Inc.
